k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
39,0.333333333,0.666666667,0.25,0.666666667,0.333333333,0.75,0.666666667,0.333333333,0.25,0.333333333,0.666666667,0.75,0,0,0,0,0,0.5
40,0.666666667,0.333333333,0,0.333333333,0.666666667,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0
41,0,0,0.250275191,0,0,0.750275191,0.333333333,0.666666667,0.06209793,0.666666667,0.333333333,0.56209793,0.333333333,0.666666667,0.46262643,0.666666667,0.333333333,0.96262643
42,0.25,0.25,0.25,0.875156215,0.875156215,0.374531356,0.875156215,0.374531356,0.875156215,0.374531356,0.875156215,0.875156215,0.875156215,0.875156215,0.875156215,0.5,0.5,0.5
43,0.833235982,0.166764018,0.5,0.166764018,0.833235982,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0.5,0
44,0.303604875,0.303604875,0,0.696395125,0.696395125,0,0.803604875,0.196395125,0.5,0.196395125,0.803604875,0.5,0,0,0,0.5,0.5,0.5
45,0.25,0.25,0.25,0.876680681,0.876680681,0.369957958,0.876680681,0.369957958,0.876680681,0.369957958,0.876680681,0.876680681,0.876680681,0.876680681,0.876680681,0.5,0.5,0.5
46,0,0,0,0.666666667,0.333333333,0,0.333333333,0.666666667,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5
47,0,0,0.250368506,0,0,0.750368506,0.333333333,0.666666667,0.056913126,0.666666667,0.333333333,0.556913126,0.333333333,0.666666667,0.462718803,0.666666667,0.333333333,0.962718803
48,0,0,0,0.5,0.5,0,0,0.5,0.178338308,0.5,0,0.821661692,0.5,0,0.317728237,0,0.5,0.682271763
49,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.287912386,0,0.5,0.712087614
50,0.25,0.25,0.25,0.5,0.5,0.5,0.876513634,0.876513634,0.370459097,0.876513634,0.370459097,0.876513634,0.370459097,0.876513634,0.876513634,0.876513634,0.876513634,0.876513634
51,0,0,0.167058055,0.5,0.5,0.832941945,0.5,0.5,0.467762254,0,0,0.532237746,0.5,0,0.393598307,0,0.5,0.606401693
52,0,0,0,0.5,0.5,0,0.5,0,0.16640746,0,0.5,0.83359254,0,0.5,0.316681178,0.5,0,0.683318822
53,0.306078074,0.306078074,0,0.693921926,0.693921926,0,0.806078074,0.193921926,0.5,0.193921926,0.806078074,0.5,0,0,0,0.5,0.5,0.5
